subj,block,ttype,mag,amp,dur
c_P07,0,DIFF,0.256496,47.286997,0.006000
c_P07,0,DIFF,0.328279,63.115911,0.008000
c_P07,0,DIFF,0.359409,45.377638,0.022000
c_P07,0,DIFF,0.345531,68.329874,0.008000
c_P07,0,DIFF,0.605494,106.742982,0.010000
c_P07,0,DIFF,0.399600,66.413861,0.010000
c_P07,0,DIFF,0.424495,123.956733,0.020000
c_P07,0,DIFF,0.384267,65.890629,0.006000
c_P07,0,DIFF,0.792477,170.554212,0.014000
c_P07,0,DIFF,0.467979,97.710611,0.010000
c_P07,0,DIFF,0.500845,96.488932,0.012000
c_P07,0,DIFF,0.306197,37.726000,0.006000
c_P07,0,DIFF,0.467303,89.882745,0.010000
c_P07,0,DIFF,0.373839,83.971649,0.008000
c_P07,0,DIFF,0.270221,44.329493,0.006000
c_P07,0,DIFF,0.944401,198.529303,0.014000
c_P07,0,DIFF,0.358471,66.587438,0.008000
c_P07,0,DIFF,0.163200,48.335140,0.006000
c_P07,0,DIFF,0.339500,65.018575,0.006000
c_P17,5,EASY,0.297793,58.936717,0.024000
c_P17,5,EASY,0.198409,27.466481,0.014000
c_P17,5,EASY,0.455605,95.100355,0.016000
c_P17,5,EASY,0.473303,98.578470,0.012000
c_P17,5,EASY,0.495191,98.585146,0.016000
c_P17,5,EASY,0.620013,134.560515,0.016000
c_P17,5,EASY,0.373919,59.630607,0.014000
c_P17,5,EASY,0.473470,113.351980,0.028000
c_P17,5,EASY,0.191285,27.999736,0.010000
c_P17,5,EASY,0.416757,92.142947,0.014000
c_P17,5,EASY,0.232749,45.898372,0.012000
c_P17,5,EASY,0.355553,66.067126,0.012000
c_P17,5,EASY,0.342638,86.581931,0.028000
c_P17,5,EASY,0.378108,79.972766,0.014000
c_P17,5,EASY,0.386606,68.503450,0.016000
c_P17,5,EASY,0.164957,22.599583,0.006000
c_P17,5,EASY,0.431896,81.020889,0.016000
c_P17,5,EASY,0.366199,66.066709,0.012000
c_P17,5,EASY,0.304972,53.368894,0.028000
c_P17,5,EASY,0.384207,74.411695,0.016000
c_P17,5,EASY,0.352198,69.197753,0.012000
c_P17,5,EASY,0.437201,87.970519,0.028000
c_P17,5,EASY,0.342420,64.851675,0.014000
c_P17,5,EASY,0.397656,75.973871,0.016000
c_P17,5,EASY,0.477590,105.007278,0.030000
c_P17,5,EASY,0.430750,60.685838,0.014000
c_P17,5,EASY,0.484559,110.574871,0.028000
c_P17,5,EASY,0.330937,64.678099,0.012000
c_P17,5,EASY,0.379008,78.410595,0.014000
c_P17,5,EASY,0.410325,72.161892,0.012000
c_P17,5,EASY,0.494775,91.099424,0.014000
c_P17,5,EASY,0.285856,38.941885,0.012000
c_P17,5,EASY,0.383883,71.107086,0.014000
c_P17,5,EASY,0.382839,85.714063,0.024000
c_P17,5,EASY,0.438623,85.880961,0.016000
c_P17,5,EASY,0.526060,116.135755,0.028000
c_P17,5,EASY,0.385999,66.240285,0.012000
c_P17,5,EASY,0.271717,50.073422,0.008000
c_P17,5,EASY,0.414032,102.917753,0.028000
c_P17,5,EASY,0.397733,65.372404,0.026000
c_P17,5,EASY,0.518920,95.794644,0.010000
c_P17,5,EASY,0.443853,94.579638,0.028000
c_P17,5,EASY,0.519584,97.176544,0.028000
c_P17,5,EASY,0.455236,83.273598,0.012000
c_P17,5,EASY,0.244807,42.074643,0.010000
c_P17,5,EASY,0.450681,94.225818,0.008000
c_P17,5,EASY,0.415841,84.492371,0.014000
c_P17,5,EASY,0.496234,108.658928,0.032000
c_P17,5,EASY,0.582311,106.576087,0.016000
c_P17,5,EASY,0.545078,90.060073,0.014000
c_P17,5,EASY,0.512469,87.100148,0.012000
c_P17,5,EASY,0.502475,132.998432,0.028000
c_P17,5,EASY,0.282799,44.856903,0.012000
c_P17,5,EASY,0.384405,76.674847,0.016000
c_P17,5,EASY,0.484438,81.194463,0.008000
c_P17,5,EASY,0.494551,89.364529,0.016000
c_P17,5,EASY,0.425522,93.705518,0.012000
c_P17,5,EASY,0.254513,51.806696,0.010000
c_P17,5,EASY,0.208172,28.341470,0.012000
c_P17,5,EASY,0.481925,87.095976,0.016000
c_P17,5,EASY,0.239622,36.511784,0.008000
c_P17,5,EASY,0.232722,31.992056,0.010000
c_P17,5,EASY,0.381720,96.322036,0.028000
c_P17,5,EASY,0.436555,79.450791,0.030000
c_P17,5,EASY,0.270886,41.725400,0.010000
c_P17,5,EASY,0.363727,75.272895,0.014000
c_P17,5,EASY,0.434499,91.795802,0.018000
c_P17,5,EASY,0.532076,88.671488,0.016000
c_P17,5,EASY,0.553503,147.598187,0.026000
c_P17,5,EASY,0.336762,72.845345,0.006000
c_P17,5,EASY,0.186251,20.515377,0.006000
c_P17,5,EASY,0.676473,103.091324,0.018000
c_P17,5,EASY,0.294446,57.367848,0.014000
c_P17,5,EASY,0.253071,39.115464,0.012000
c_P17,5,EASY,0.361188,50.764395,0.014000
c_P17,5,EASY,0.507422,74.584019,0.018000
c_P17,5,EASY,0.263156,47.467251,0.018000
c_P17,5,EASY,0.249107,32.509872,0.014000
c_P17,5,EASY,0.818213,173.678199,0.020000
